"Question","Answer"
"¿Cuáles son las tres superáreas culturales en las que se divide el México antiguo?","Mesoamérica, Aridoamérica y Oasisamérica"
"¿Qué civilización del periodo Preclásico es considerada la 'cultura madre' y es famosa por sus cabezas colosales?","La cultura Olmeca"
"¿Cuál fue la gran metrópoli multiétnica del periodo Clásico que dominó el Altiplano Central?","Teotihuacán"
"¿En qué campos del conocimiento destacaron las ciudades-estado mayas del periodo Clásico?","Escritura jeroglífica, matemáticas (uso del cero) y astronomía (calendarios precisos)"
"¿Qué cultura militarista del Posclásico temprano tuvo su capital en Tula y extendió la figura de Quetzalcóatl?","La cultura Tolteca"
"¿Cómo se llamaba la unidad social básica de los mexicas, que era una especie de clan o barrio?","Calpulli"
"¿Qué tres ciudades conformaron la Triple Alianza, el imperio que dominaba México a la llegada de los españoles?","Tenochtitlan, Texcoco y Tlacopan"
"¿En qué año se consumó la Conquista de México-Tenochtitlan por los españoles liderados por Hernán Cortés?","1521"
"¿Qué factor militar y político fue clave para la victoria de Cortés sobre los mexicas?","La alianza con pueblos indígenas sometidos por los mexicas, como los tlaxcaltecas"
"¿Cuál era la máxima autoridad política en la Nueva España, representante directo del rey de España?","El Virrey"
"¿Qué institución, además del gobierno, tuvo un poder inmenso en la vida social, cultural y económica de la Nueva España?","La Iglesia Católica"
"¿Cómo se llamó la primera forma de explotación del trabajo indígena, que consistía en 'encomendar' un grupo de indígenas a un conquistador?","La Encomienda"
"Según la Nueva Historia Mínima, ¿cuál fue la actividad económica que más riqueza generó para la corona española durante la colonia?","La minería de plata (Zacatecas, Guanajuato, Taxco)"
"¿Cómo se llamaban las grandes propiedades rurales autosuficientes que se convirtieron en la base de la economía agrícola novohispana?","Haciendas"
"¿Qué ruta comercial conectaba a la Nueva España con Asia a través del Pacífico?","El Galeón de Manila (Nao de China)"
"En el sistema de castas colonial, ¿qué nombre recibían los hijos de españoles nacidos en América?","Criollos"
"¿Qué grupo social, a pesar de su poder económico, estaba excluido de los cargos más altos del gobierno?","Los Criollos"
"¿Cuál fue el objetivo principal de las Reformas Borbónicas aplicadas en la Nueva España en el siglo XVIII?","Centralizar el poder, aumentar la recaudación de impuestos y restar poder a los criollos y a la Iglesia"
"¿Qué suceso en España (1808) provocó la crisis de legitimidad que aceleró el movimiento de independencia en la Nueva España?","La invasión de Napoleón Bonaparte a España y la abdicación del rey Fernando VII"
"El movimiento de independencia iniciado por Miguel Hidalgo en 1810 se caracterizó por ser un levantamiento principalmente...","Popular y rural, con una gran participación campesina e indígena"
"¿Qué documento, redactado bajo el liderazgo de José María Morelos, declaraba formalmente la independencia, la república y la abolición de la esclavitud?","Los Sentimientos de la Nación"
"¿Quién fue el militar realista que, al aliarse con los insurgentes (Plan de Iguala), consumó la Independencia de México en 1821?","Agustín de Iturbide"
"¿Cuáles fueron los dos proyectos políticos principales que se enfrentaron violentamente durante gran parte del siglo XIX en México?","Liberales (federalistas) y Conservadores (centralistas)"
"¿En qué guerra perdió México más de la mitad de su territorio, incluyendo California, Arizona y Nuevo México?","La Guerra contra Estados Unidos (1846-1848)"
"¿Cómo se llama el tratado que puso fin a la guerra con Estados Unidos y formalizó la cesión de territorios?","El Tratado de Guadalupe-Hidalgo"
"El periodo conocido como La Reforma, liderado por Benito Juárez, tuvo como objetivo principal...","La separación entre la Iglesia y el Estado y la consolidación de un gobierno republicano laico"
"¿Cuál fue la ley más importante de la Reforma que decretaba la desamortización de los bienes de la Iglesia y de las comunidades indígenas?","La Ley Lerdo"
"¿Quién fue el emperador austriaco impuesto en México durante la Segunda Intervención Francesa (1862-1867)?","Maximiliano de Habsburgo"
"Tras la derrota de los franceses y la restauración de la República, ¿qué presidente gobernó hasta su muerte en 1872?","Benito Juárez"
"¿Cuál era el lema del gobierno de Porfirio Díaz, que buscaba la estabilidad política y el crecimiento económico a toda costa?","Orden y Progreso"
"¿Cómo se conocía al grupo de consejeros y tecnócratas de Porfirio Díaz, influenciados por el positivismo?","Los Científicos"
"¿Cuál fue el principal motor de la modernización económica y la integración del territorio durante el Porfiriato?","La expansión de la red de ferrocarriles y la inversión extranjera"
"La causa social más profunda que dio origen a la Revolución Mexicana fue...","La extrema desigualdad social y la concentración de la tierra en pocas manos (haciendas)"
"¿Qué huelgas obreras, reprimidas violentamente, son consideradas un antecedente de la Revolución Mexicana?","La huelga de Cananea (1906) y la de Río Blanco (1907)"
