"Question","Answer"
"¿Cuál fue la cultura madre de la civilización mesoamericana?","Olmeca"
"La base de la alimentación de las culturas mesoamericanas fue:","El maíz"
"¿Cuál era el dios de la guerra entre los mexicas?","Huitzilopochtli"
"La cultura que se desarrolló en la ciudad de Palenque fue la:","Maya"
"¿Qué significa la palabra ""Teotihuacán""?","Ciudad de los Dioses"
"¿Cuál es la ciudad de Mesoamérica que se destacó por su avanzado conocimiento en la astronomía?","Chichén Itzá"
"¿Qué cultura mesoamericana se distinguió por su excelente trabajo de la metalurgia?","Purépecha"
"¿Qué cultura mesoamericana tuvo su periodo de esplendor en el periodo Clásico entre los años 250 a 900 d.C.?","Maya"
"¿Cuál fue la ciudad sagrada de la cultura tolteca?","Tula"
"El calendario solar de los mexicas es conocido como:","La Piedra del Sol"
"¿Cuál es la deidad del México antiguo conocida como la ""Serpiente Emplumada""?","Quetzalcóatl"
"¿Las cabezas colosales son creaciones de qué cultura?","Olmeca"
"¿Qué ciudad floreció en el Valle de México tras el abandono de Cuicuilco?","Teotihuacán"
"¿Cómo se llama el terreno construido sobre las lagunas del valle de México que sirvió de base al sistema productivo del altiplano central?","Chinampa"
"¿En qué año fue la caída de México-Tenochtitlan?","1521"
"Nombre del conquistador que derrotó al imperio mexica:","Hernán Cortés"
"¿Quién fue la traductora que resultó fundamental para la comunicación entre españoles y mexicas durante la Conquista?","La Malinche"
"¿Cuál fue la actividad económica más importante de la Nueva España?","La minería"
"¿Cuál fue el principal puerto comercial de la Nueva España en el Océano Atlántico?","Veracruz"
"¿Cuál fue la máxima autoridad en la Nueva España?","El Virrey"
"Nombre de la poetisa y escritora más importante de la época novohispana:","Sor Juana Inés de la Cruz"
"El estilo arquitectónico que predominó en la Nueva España durante el siglo XVIII fue el:","Barroco"
"¿Cómo se llamaba la forma de gobierno que tuvo México como colonia española?","Virreinato"
"Los hijos de españoles nacidos en la Nueva España eran llamados:","Criollos"
"¿Quién fue el iniciador de la Guerra de Independencia de México?","Miguel Hidalgo y Costilla"
"¿Cuál es la fecha en que se conmemora el inicio de la Independencia de México?","16 de septiembre de 1810"
"¿En qué año llegó a su fin la Guerra de Independencia de México?","1821"
"¿Quién es conocido como el ""Siervo de la Nación""?","José María Morelos y Pavón"
"¿Cuál fue el primer emperador de México?","Agustín de Iturbide"
"¿Cuál es el nombre de la corregidora que participó en la conspiración de Querétaro?","Josefa Ortiz de Domínguez"
"La primera Constitución de México fue promulgada en el año de:","1824"
"¿Quién fue el primer presidente de México?","Guadalupe Victoria"
"¿Quiénes fueron las mujeres más destacadas en la Independencia de México?","Josefa Ortiz de Domínguez (La Corregidora) y Leona Vicario"
"¿Quién dijo la frase ""Morir es nada cuando por la patria se muere""?","José María Morelos y Pavón"
"¿Cuál fue la guerra que México sostuvo con Estados Unidos entre 1846 y 1848?","La Guerra de Intervención Estadounidense"
"¿Cuál es el nombre del tratado con el que México perdió más de la mitad de su territorio ante Estados Unidos?","Tratado de Guadalupe-Hidalgo"
"La Guerra de los Pasteles fue un conflicto entre México y:","Francia"
"La Batalla de Puebla, ocurrida el 5 de mayo de 1862, fue una victoria de México contra:","El ejército francés"
"¿Quién fue el presidente de México conocido como el ""Benemérito de las Américas""?","Benito Juárez"
"El periodo de gobierno del presidente Porfirio Díaz se conoce como:","El Porfiriato"
