"Question","Correct_Answer","Distractor1","Distractor2","Distractor3","Distractor4","Distractor5","Distractor6","Distractor7","Distractor8"
"¿Cuál fue la cultura madre de la civilización mesoamericana?","Olmeca","Maya","Azteca","Zapoteca","Tolteca","Teotihuacana","Mixteca","Purépecha","Huasteca"
"La base de la alimentación de las culturas mesoamericanas fue:","El maíz","El frijol","La calabaza","El chile","El cacao","El amaranto","El aguacate","La chía"
"¿Cuál era el dios de la guerra entre los mexicas?","Huitzilopochtli","Quetzalcóatl","Tezcatlipoca","Tláloc","Xochiquetzal","Coatlicue","Mictlantecuhtli","Chalchiuhtotolin"
"La cultura que se desarrolló en la ciudad de Palenque fue la:","Maya","Olmeca","Zapoteca","Mixteca","Tolteca","Azteca","Totonaca","Huasteca"
"¿Qué significa la palabra ""Teotihuacán""?","Ciudad de los Dioses","Lugar de los Muertos","Valle Sagrado","Monte de los Ancestros","Tierra de los Guerreros","Casa del Sol","Reino de las Águilas","Palacio de Jade"
"¿Cuál es la ciudad de Mesoamérica que se destacó por su avanzado conocimiento en la astronomía?","Chichén Itzá","Teotihuacán","Palenque","Monte Albán","Uxmal","Tikal","Copán","Calakmul"
"¿Qué cultura mesoamericana se distinguió por su excelente trabajo de la metalurgia?","Purépecha","Zapoteca","Maya","Mixteca","Azteca","Tolteca","Olmeca","Huasteca"
"¿Qué cultura mesoamericana tuvo su periodo de esplendor en el periodo Clásico entre los años 250 a 900 d.C.?","Maya","Olmeca","Azteca","Tolteca","Zapoteca","Mixteca","Teotihuacana","Purépecha"
"¿Cuál fue la ciudad sagrada de la cultura tolteca?","Tula","Tenochtitlan","Teotihuacán","Chichén Itzá","Monte Albán","Palenque","Xochicalco","Cacaxtla"
"El calendario solar de los mexicas es conocido como:","La Piedra del Sol","El Códice Azteca","La Rueda del Tiempo","El Disco Sagrado","La Mesa Ceremonial","El Círculo de Jade","La Corona Solar","El Espejo de Obsidiana"
"¿Cuál es la deidad del México antiguo conocida como la ""Serpiente Emplumada""?","Quetzalcóatl","Huitzilopochtli","Tezcatlipoca","Tláloc","Coatlicue","Xochiquetzal","Mictlantecuhtli","Chalchiuhtlicue"
"¿Las cabezas colosales son creaciones de qué cultura?","Olmeca","Maya","Azteca","Zapoteca","Tolteca","Mixteca","Teotihuacana","Totonaca"
