"Question","Answer"
"¿Cuáles son las 3 superáreas culturales en las que se divide el México antiguo?","Mesoamérica, Aridoamérica y Oasisamérica."
"¿Cuál fue la cultura madre y primera en desarrollar un sistema de escritura en Mesoamérica?","La cultura Olmeca."
"¿Cuál fue la civilización que tuvo su máximo esplendor durante el período Clásico en el sureste de México y que destacó por sus conocimientos en astronomía y matemáticas?","La civilización Maya."
"¿Cuál fue la ciudad más importante del período Clásico en el Altiplano Central y que se caracterizó por su arquitectura monumental y su influencia en toda Mesoamérica?","Teotihuacán."
"¿Cuál fue la cultura que se desarrolló en el actual estado de Oaxaca y que es famosa por su arte funerario y la ciudad de Monte Albán?","La cultura Zapoteca."
"¿Cuál fue la cultura que se desarrolló en la región de la Mixteca y que es conocida por sus códices y su habilidad en la metalurgia?","La cultura Mixteca."
"¿Cuál fue la cultura que se desarrolló en el actual estado de Veracruz y que es conocida por sus caritas sonrientes y el juego de pelota?","La cultura Totonaca."
"¿Cuál fue la cultura que se desarrolló en el actual estado de Michoacán y que se caracterizó por su habilidad en la metalurgia y su resistencia a la conquista mexica?","La cultura Purépecha o Tarasca."
"¿Cuál fue la cultura que se desarrolló en el actual estado de Hidalgo y que es conocida por los Atlantes de Tula?","La cultura Tolteca."
"¿Cuál fue la civilización que fundó la ciudad de México-Tenochtitlan en el lago de Texcoco en 1325?","La civilización Mexica o Azteca."
"¿En qué año llegaron los españoles a las costas de México?","En 1519."
"¿Quién fue el conquistador español que lideró la expedición que sometió al Imperio Mexica?","Hernán Cortés."
"¿Quién fue el último tlatoani mexica, quien lideró la resistencia de México-Tenochtitlan?","Cuauhtémoc."
"¿En qué año cayó México-Tenochtitlan ante los españoles?","En 1521."
"¿Cómo se le llamó al territorio que hoy es México durante el dominio español?","Virreinato de la Nueva España."
"¿Quién fue la traductora indígena que fue pieza clave durante la Conquista de México?","La Malinche o Malintzin."
"¿Cuál fue la principal actividad económica durante la época colonial en la Nueva España?","La minería."
"¿Cuál fue la institución religiosa que tuvo un papel fundamental en la evangelización y educación durante la época colonial?","La Iglesia Católica."
"¿Quién fue la escritora y religiosa más importante de la época colonial, conocida como la 'Décima Musa'?","Sor Juana Inés de la Cruz."
"¿Cómo se le llamaba a los hijos de españoles nacidos en la Nueva España?","Criollos."
"¿Qué movimiento intelectual y cultural europeo influyó en el pensamiento de los líderes de la Independencia de México?","La Ilustración."
"¿Qué acontecimiento en España fue el detonante para el inicio de la lucha por la Independencia de México?","La invasión de Napoleón Bonaparte a España en 1808."
"¿Quién es considerado el 'Padre de la Patria' por haber iniciado la lucha por la Independencia de México con el Grito de Dolores?","Miguel Hidalgo y Costilla."
"¿En qué fecha se conmemora el inicio de la Independencia de México?","El 16 de septiembre de 1810."
"¿Quién fue el líder insurgente que continuó la lucha por la independencia tras la muerte de Hidalgo y que escribió los 'Sentimientos de la Nación'?","José María Morelos y Pavón."
"¿Quién fue la heroína de la Independencia de México que arriesgó su vida y fortuna por la causa insurgente?","Leona Vicario."
"¿Quién fue el militar realista que se unió a los insurgentes y consumó la Independencia de México con el Plan de Iguala?","Agustín de Iturbide."
"¿En qué año se consumó la Independencia de México?","En 1821."
"¿Quién fue el primer emperador de México?","Agustín de Iturbide."
"¿Quién fue el primer presidente de México?","Guadalupe Victoria."
"¿Qué conflicto bélico tuvo lugar entre México y Francia en 1838, también conocido como la Primera Intervención Francesa?","La Guerra de los Pasteles."
"¿Qué conflicto bélico tuvo lugar entre México y Estados Unidos entre 1846 y 1848 y que tuvo como consecuencia la pérdida de más de la mitad del territorio mexicano?","La Intervención estadounidense en México."
"¿Cuál es el nombre del tratado mediante el cual México cedió más de la mitad de su territorio a Estados Unidos?","El Tratado de Guadalupe-Hidalgo."
"¿Quién fue el presidente de México que lideró la defensa del país durante la Intervención estadounidense y que es conocido como el 'Benemérito de las Américas'?","Benito Juárez."
"¿Qué conflicto bélico tuvo lugar entre liberales y conservadores entre 1857 y 1861?","La Guerra de Reforma."
"¿Qué conflicto bélico tuvo lugar entre México y Francia entre 1862 y 1867 y que tuvo como consecuencia la imposición de Maximiliano de Habsburgo como emperador de México?","La Segunda Intervención Francesa."
"¿En qué fecha tuvo lugar la Batalla de Puebla, en la que el ejército mexicano derrotó al ejército francés?","El 5 de mayo de 1862."
"¿Quién fue el militar mexicano que lideró al ejército mexicano en la Batalla de Puebla?","Ignacio Zaragoza."
"¿Cómo se le conoce al período de la historia de México en el que Porfirio Díaz gobernó el país por más de 30 años?","El Porfiriato."
"¿Qué movimiento armado tuvo lugar en México entre 1910 y 1920 y que buscaba derrocar a Porfirio Díaz y establecer un sistema político y social más justo?","La Revolución Mexicana."
"¿Quién fue el líder de la Revolución Mexicana que promulgó el Plan de San Luis y que se convirtió en presidente de México en 1911?","Francisco I. Madero."
"¿Quién fue el líder revolucionario que luchó por la restitución de las tierras a los campesinos en el estado de Morelos y que es conocido por el lema 'Tierra y Libertad'?","Emiliano Zapata."
"¿Quién fue el líder revolucionario que comandó la División del Norte y que es conocido por sus habilidades militares y su lucha por la justicia social?","Francisco 'Pancho' Villa."
"¿Quién fue el líder revolucionario que se convirtió en presidente de México en 1917 y que promulgó la Constitución que rige actualmente al país?","Venustiano Carranza."
"¿En qué año se promulgó la Constitución Política de los Estados Unidos Mexicanos que rige actualmente al país?","En 1917."
"¿Qué conflicto armado tuvo lugar en México entre 1926 y 1929 y que enfrentó al gobierno con la Iglesia Católica?","La Guerra Cristera."
"¿Quién fue el presidente de México que llevó a cabo la Expropiación Petrolera en 1938?","Lázaro Cárdenas del Río."
"¿Qué partido político gobernó México de forma ininterrumpida por más de 70 años?","El Partido Revolucionario Institucional (PRI)."
"¿Qué evento deportivo de talla mundial tuvo lugar en México en 1968?","Los Juegos Olímpicos."
"¿Qué movimiento estudiantil tuvo lugar en México en 1968 y que fue reprimido violentamente por el gobierno en la Plaza de las Tres Culturas de Tlatelolco?","El Movimiento Estudiantil de 1968."
"¿Qué tratado de libre comercio entró en vigor en México en 1994 y que ha tenido un gran impacto en la economía del país?","El Tratado de Libre Comercio de América del Norte (TLCAN)."
"¿En qué año se llevaron a cabo las elecciones presidenciales que marcaron el fin de más de 70 años de gobierno del PRI y el inicio de la alternancia política en México?","En el año 2000."
"¿Cuál es el nombre oficial de México?","Estados Unidos Mexicanos."
"¿Cuántos estados conforman la República Mexicana?","31 estados y la Ciudad de México."
"¿Cuáles son los tres poderes de la Unión?","Ejecutivo, Legislativo y Judicial."
"¿Quién es el titular del Poder Ejecutivo Federal?","El Presidente de los Estados Unidos Mexicanos."
"¿Cada cuántos años se elige al Presidente de México?","Cada 6 años."
"¿Cuál es la ley suprema de la nación?","La Constitución Política de los Estados Unidos Mexicanos."
